major_id,major_name
1,Accounting
2,Aerospace Engineering
3,Agribusiness
4,Agricultural Communications & Journalism
5,Agricultural Economics
6,Agricultural Education
7,Agricultural Leadership & Development
8,Agricultural Systems Management
9,Animal Science
10,Anthropology
11,Applied Mathematics
12,Architectural Engineering
13,Architecture
14,Behavioral and Cognitive Neuroscience
15,Biochemistry
16,Bioenvironmental Sciences
17,Bioinformatics
18,Biological & Agricultural Engineering
19,Biology
20,Biomedical Engineering
21,Biomedical Sciences
22,Business Administration (BSB)
23,Business Honors
24,Chemical Engineering
25,Chemistry
26,Civil Engineering
27,Classics
28,Coastal Environmental Science & Society
29,Communication
30,Computer Engineering
31,Computer Science
32,Construction Science
33,Dance Science
34,Data Engineering
35,Ecology & Conservation Biology
36,Economics
37,Education - Bilingual Education
38,Education - Early Childhood Development & Education
39,Education - Language Arts/Social Studies Middle Grades Certification
40,Education - Math/Science Middle Grades Certification
41,Education - PreK-6 Generalist Certification
42,Education - Special Education
43,Electrical Engineering
44,Electronic Systems Engineering Technology
45,English
46,Entomology
47,Environmental Engineering
48,Environmental Studies
49,Environmental Systems Science
50,Finance
51,Financial Planning
52,Food Science & Technology
53,Forensic & Investigative Sciences
54,General Studies
55,Genetics
56,Geographic Information Science & Technology
57,Geography
58,Geology
59,Geophysics
60,Global Studies
61,History
62,Horticulture
63,Hospitality, Hotel Management, & Tourism
64,Human Development & Family Sciences
65,Human Resource Development
66,Industrial & Systems Engineering
67,Industrial Distribution
68,Information Technology Service Management
69,Interdisciplinary Engineering
70,International Affairs
71,Journalism
72,Kinesiology - Exercise & Sport Science
73,Kinesiology - Exercise Science
74,Landscape Architecture
75,Learning Technology and Performance Systems
76,Management
77,Management Information Systems
78,Manufacturing & Mechanical Engineering Technology
79,Marine Biology
80,Marine Engineering Technology
81,Marine Fisheries
82,Marine Sciences
83,Marine Transportation
84,Maritime Business Administration
85,Maritime Studies
86,Marketing
87,Materials Science & Engineering
88,Mathematics
89,Mechanical Engineering
90,Meteorology
91,Microbiology
92,Modern Languages (French, German, or Russian)
93,Molecular and Cell Biology
94,Multidisciplinary Engineering Technology
95,Music Performance
96,Neuroscience - Molecular and Cellular Track
97,Nuclear Engineering
98,Nursing
99,Nutrition
100,Ocean Engineering
101,Ocean Studies
102,Oceanography
103,Performance & Visual Studies
104,Petroleum Engineering
105,Philosophy
106,Physics
107,Plant & Environmental Soil Science
108,Political Science
109,Poultry Science
110,Psychology
111,Public Health
112,Public Service & Administration
113,Rangeland, Wildlife, & Fisheries Management
114,Society, Ethics, & Law
115,Sociology
116,Spanish
117,Sport Management
118,Statistics
119,Supply Chain Management
120,Telecommunication Media Studies
121,Theatre
122,Turfgrass Science
123,University Studies - Global Arts, Planning, Design & Construction
124,University Studies - Mathematics for Secondary Teaching
125,University Studies - Oceans & One Health
126,University Studies - Race, Gender, & Ethnicity
127,University Studies - Tourism & Coastal Community Development
128,Urban & Regional Planning
129,Visualization
130,Women's & Gender Studies
131,Zoology
